pk_resumen,lat,lon,score_final,dias_evaluados,dias_optimos,pct_optimos,mes,score_mensual_promedio,variabilidad_score,confort_pct_mes,desviacion_estacional,aggregated_at
4.399608|-75.799523|6,4.399608,-75.799523,78.29,3643,693,19.02,6,63.33,16.33,52.0,-14.96,2026-04-14 09:57:56.419936-05
4.399608|-75.799523|7,4.399608,-75.799523,78.29,3643,693,19.02,7,64.18,18.1,54.56,-14.11,2026-04-14 09:57:56.419936-05
4.399608|-75.799523|8,4.399608,-75.799523,78.29,3643,693,19.02,8,64.38,20.31,56.12,-13.91,2026-04-14 09:57:56.419936-05
4.399608|-75.799523|9,4.399608,-75.799523,78.29,3643,693,19.02,9,65.32,20.08,57.73,-12.97,2026-04-14 09:57:56.419936-05
4.399608|-75.799523|10,4.399608,-75.799523,78.29,3643,693,19.02,10,62.44,17.07,50.36,-15.85,2026-04-14 09:57:56.419936-05
4.399608|-75.799523|11,4.399608,-75.799523,78.29,3643,693,19.02,11,60.46,16.17,44.35,-17.83,2026-04-14 09:57:56.419936-05
4.399608|-75.799523|12,4.399608,-75.799523,78.29,3643,693,19.02,12,61.78,17.07,48.51,-16.51,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|1,5.299612,-75.599522,78.01,3643,643,17.65,1,61.8,18.87,48.82,-16.21,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|2,5.299612,-75.599522,78.01,3643,643,17.65,2,64.84,18.46,55.99,-13.17,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|3,5.299612,-75.599522,78.01,3643,643,17.65,3,64.74,17.04,55.4,-13.27,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|4,5.299612,-75.599522,78.01,3643,643,17.65,4,63.63,16.46,53.15,-14.38,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|5,5.299612,-75.599522,78.01,3643,643,17.65,5,62.83,16.12,51.47,-15.18,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|6,5.299612,-75.599522,78.01,3643,643,17.65,6,63.33,16.33,52.0,-14.68,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|7,5.299612,-75.599522,78.01,3643,643,17.65,7,64.18,18.1,54.56,-13.83,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|8,5.299612,-75.599522,78.01,3643,643,17.65,8,64.38,20.31,56.12,-13.63,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|9,5.299612,-75.599522,78.01,3643,643,17.65,9,65.32,20.08,57.73,-12.69,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|10,5.299612,-75.599522,78.01,3643,643,17.65,10,62.44,17.07,50.36,-15.57,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|11,5.299612,-75.599522,78.01,3643,643,17.65,11,60.46,16.17,44.35,-17.55,2026-04-14 09:57:56.419936-05
5.299612|-75.599522|12,5.299612,-75.599522,78.01,3643,643,17.65,12,61.78,17.07,48.51,-16.23,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|1,4.299608,-75.899524,77.81,3643,631,17.32,1,61.8,18.87,48.82,-16.01,2026-04-14 09:57:56.419936-05
