pk_gold,lat,lon,dias_evaluados,dias_optimos,pct_optimos,score_final,aggregated_at
4.499609|-75.599522,4.499609,-75.599522,3642,1,0.03,54.39,2026-04-14 09:57:56.419936-05
4.69961|-75.399521,4.69961,-75.399521,3643,0,0.0,54.39,2026-04-14 09:57:56.419936-05
5.599614|-75.999524,5.599614,-75.999524,3643,57,1.56,54.3,2026-04-14 09:57:56.419936-05
5.099611|-75.299521,5.099611,-75.299521,3643,0,0.0,54.18,2026-04-14 09:57:56.419936-05
5.599614|-75.399521,5.599614,-75.399521,3643,55,1.51,54.18,2026-04-14 09:57:56.419936-05
4.79961|-75.399521,4.79961,-75.399521,3643,0,0.0,54.09,2026-04-14 09:57:56.419936-05
4.299608|-75.699523,4.299608,-75.699523,3643,4,0.11,53.99,2026-04-14 09:57:56.419936-05
4.599609|-75.299521,4.599609,-75.299521,3643,0,0.0,53.86,2026-04-14 09:57:56.419936-05
4.999611|-75.399521,4.999611,-75.399521,3643,0,0.0,53.84,2026-04-14 09:57:56.419936-05
4.599609|-75.499522,4.599609,-75.499522,3643,0,0.0,53.79,2026-04-14 09:57:56.419936-05
4.89961|-75.599522,4.89961,-75.599522,3643,44,1.21,53.79,2026-04-14 09:57:56.419936-05
4.89961|-75.299521,4.89961,-75.299521,3643,0,0.0,53.74,2026-04-14 09:57:56.419936-05
4.999611|-75.499522,4.999611,-75.499522,3643,75,2.06,53.73,2026-04-14 09:57:56.419936-05
5.499613|-75.699523,5.499613,-75.699523,3643,51,1.4,53.73,2026-04-14 09:57:56.419936-05
4.499609|-75.499522,4.499609,-75.499522,3643,0,0.0,53.64,2026-04-14 09:57:56.419936-05
4.199607|-75.699523,4.199607,-75.699523,3643,0,0.0,53.62,2026-04-14 09:57:56.419936-05
4.89961|-75.399521,4.89961,-75.399521,3643,0,0.0,53.49,2026-04-14 09:57:56.419936-05
5.599614|-75.799523,5.599614,-75.799523,3643,0,0.0,53.26,2026-04-14 09:57:56.419936-05
4.099607|-75.699523,4.099607,-75.699523,3643,0,0.0,53.17,2026-04-14 09:57:56.419936-05
4.599609|-75.399521,4.599609,-75.399521,3643,0,0.0,53.07,2026-04-14 09:57:56.419936-05
5.399613|-75.399521,5.399613,-75.399521,3643,0,0.0,53.01,2026-04-14 09:57:56.419936-05
4.499609|-75.399521,4.499609,-75.399521,3643,0,0.0,52.11,2026-04-14 09:57:56.419936-05
4.69961|-75.499522,4.69961,-75.499522,3643,0,0.0,52.08,2026-04-14 09:57:56.419936-05
4.79961|-75.599522,4.79961,-75.599522,3643,48,1.32,51.89,2026-04-14 09:57:56.419936-05
5.599614|-75.899524,5.599614,-75.899524,3643,7,0.19,51.67,2026-04-14 09:57:56.419936-05
5.399613|-75.299521,5.399613,-75.299521,3643,0,0.0,51.48,2026-04-14 09:57:56.419936-05
5.499613|-75.799523,5.499613,-75.799523,3643,0,0.0,51.46,2026-04-14 09:57:56.419936-05
4.79961|-75.499522,4.79961,-75.499522,3643,0,0.0,51.27,2026-04-14 09:57:56.419936-05
4.099607|-75.599522,4.099607,-75.599522,3643,0,0.0,51.25,2026-04-14 09:57:56.419936-05
4.199607|-75.599522,4.199607,-75.599522,3643,0,0.0,51.24,2026-04-14 09:57:56.419936-05
4.399608|-75.599522,4.399608,-75.599522,3642,0,0.0,51.02,2026-04-14 09:57:56.419936-05
4.89961|-75.499522,4.89961,-75.499522,3643,0,0.0,50.95,2026-04-14 09:57:56.419936-05
4.399608|-75.399521,4.399608,-75.399521,3642,7,0.19,50.8,2026-04-14 09:57:56.419936-05
4.399608|-75.499522,4.399608,-75.499522,3643,0,0.0,50.66,2026-04-14 09:57:56.419936-05
5.399613|-75.799523,5.399613,-75.799523,3643,28,0.77,50.36,2026-04-14 09:57:56.419936-05
4.299608|-75.599522,4.299608,-75.599522,3641,0,0.0,50.21,2026-04-14 09:57:56.419936-05
4.299608|-75.499522,4.299608,-75.499522,3642,0,0.0,50.16,2026-04-14 09:57:56.419936-05
5.499613|-75.399521,5.499613,-75.399521,3643,0,0.0,49.74,2026-04-14 09:57:56.419936-05
4.299608|-75.399521,4.299608,-75.399521,3642,0,0.0,49.69,2026-04-14 09:57:56.419936-05
4.199607|-75.499522,4.199607,-75.499522,3643,0,0.0,49.64,2026-04-14 09:57:56.419936-05
4.099607|-75.499522,4.099607,-75.499522,3643,15,0.41,49.02,2026-04-14 09:57:56.419936-05
5.499613|-75.899524,5.499613,-75.899524,3643,24,0.66,48.83,2026-04-14 09:57:56.419936-05
5.099611|-75.999524,5.099611,-75.999524,3643,41,1.13,48.26,2026-04-14 09:57:56.419936-05
5.499613|-75.299521,5.499613,-75.299521,3643,0,0.0,48.04,2026-04-14 09:57:56.419936-05
5.199612|-76.099525,5.199612,-76.099525,3643,1,0.03,47.36,2026-04-14 09:57:56.419936-05
4.999611|-76.099525,4.999611,-76.099525,3643,10,0.27,47.12,2026-04-14 09:57:56.419936-05
5.099611|-76.099525,5.099611,-76.099525,3643,0,0.0,45.95,2026-04-14 09:57:56.419936-05
